name,total_points,position_DEF,GW,team,opponent_team,position_FWD,position_GK,position_MID,game_avg_7,pos_id,initval,rank,diff_from_avg,opp_defense_rank,opp_attack_rank,team_cluster_rank,opp_cluster_rank,was_home,total_points_20
Kai Havertz,4,0,17,5,12,0,0,1,1.4285714285714286,0,85.0,2.0,2.571428571428571,0,3,3,3,True,4
James Ward-Prowse,6,0,17,16,11,0,0,1,3.142857142857143,0,60.0,3.0,2.857142857142857,0,2,2,2,True,6
Diogo Jota,0,0,17,11,16,0,0,1,0.42857142857142855,0,65.0,1.0,-0.42857142857142855,3,1,1,1,False,0
David McGoldrick,2,0,17,15,6,1,0,0,2.7142857142857144,2,55.0,3.0,-0.7142857142857144,3,1,1,1,False,2
Rob Holding,10,1,17,1,18,0,0,0,3.142857142857143,1,45.0,3.0,6.857142857142858,3,0,0,0,False,10
Michael Keane,0,1,17,7,19,0,0,0,2.4285714285714284,1,50.0,3.0,-2.4285714285714284,1,2,2,2,True,0
Marc Albrighton,5,0,17,10,14,0,0,1,2.142857142857143,0,55.0,2.0,2.857142857142857,2,1,1,1,False,5
Mohamed Salah,2,0,17,11,16,0,0,1,6.428571428571429,0,120.0,3.0,-4.428571428571429,3,1,1,1,False,2
Kelechi Iheanacho,0,0,17,10,14,1,0,0,4.0,2,60.0,3.0,-4.0,2,1,1,1,False,0
Yves Bissouma,0,0,17,3,20,0,0,1,1.8571428571428572,0,45.0,2.0,-1.8571428571428572,2,0,0,0,True,0
Oriol Romeu Vidal,0,0,17,16,11,0,0,1,0.8571428571428571,0,45.0,2.0,-0.8571428571428571,0,2,2,2,True,0
Granit Xhaka,3,0,17,1,18,0,0,1,1.5714285714285714,0,55.0,2.0,1.4285714285714286,3,0,0,0,False,3
Ben White,1,1,17,3,20,0,0,0,3.857142857142857,1,45.0,3.0,-2.857142857142857,2,0,0,0,True,1
Kalvin Phillips,1,0,17,9,17,0,0,1,2.2857142857142856,0,50.0,3.0,-1.2857142857142856,0,2,2,2,False,1
Sam Johnstone,2,0,17,18,1,0,1,0,4.428571428571429,3,45.0,3.0,-2.428571428571429,0,1,1,1,True,2
Ben Osborn,2,0,17,15,6,0,0,1,1.1428571428571428,0,50.0,2.0,0.8571428571428572,3,1,1,1,False,2
Liam Cooper,0,1,17,9,17,0,0,0,0.7142857142857143,1,45.0,1.0,-0.7142857142857143,0,2,2,2,False,0
Michail Antonio,1,0,17,19,7,1,0,0,1.7142857142857142,2,65.0,2.0,-0.7142857142857142,1,1,1,1,False,1
Timo Werner,2,0,17,5,12,1,0,0,2.7142857142857144,2,95.0,3.0,-0.7142857142857144,0,3,3,3,True,2
Jonny Evans,2,1,17,10,14,0,0,0,3.7142857142857144,1,55.0,3.0,-1.7142857142857144,2,1,1,1,False,2
Ben Davies,6,1,17,17,10,0,0,0,1.1428571428571428,1,50.0,2.0,4.857142857142858,2,2,2,2,True,6
Max Kilman,1,1,17,20,3,0,0,0,1.8571428571428572,1,40.0,2.0,-0.8571428571428572,1,1,1,1,False,1
Jannik Vestergaard,0,1,17,16,11,0,0,0,0.42857142857142855,1,45.0,1.0,-0.42857142857142855,0,2,2,2,True,0
Emiliano Martínez,3,0,17,2,13,0,1,0,2.7142857142857144,3,45.0,3.0,0.2857142857142856,0,3,3,3,False,3
Daniel Castelo Podence,0,0,17,20,3,0,0,1,1.5714285714285714,0,55.0,2.0,-1.5714285714285714,1,1,1,1,False,0
Gabriel Magalhães,0,1,17,1,18,0,0,0,3.2857142857142856,1,50.0,3.0,-3.2857142857142856,3,0,0,0,False,0
John Egan,1,1,17,15,6,0,0,0,2.857142857142857,1,50.0,3.0,-1.8571428571428572,3,1,1,1,False,1
Mateo Kovacic,1,0,17,5,12,0,0,1,1.4285714285714286,0,55.0,2.0,-0.4285714285714286,0,3,3,3,True,1
Alexandre Lacazette,12,0,17,1,18,1,0,0,3.4285714285714284,2,85.0,3.0,8.571428571428571,3,0,0,0,False,12
Andreas Christensen,0,1,17,5,12,0,0,0,2.142857142857143,1,50.0,2.0,-2.142857142857143,0,3,3,3,True,0
Lukasz Fabianski,0,0,17,19,7,0,1,0,1.2857142857142858,3,50.0,2.0,-1.2857142857142858,1,1,1,1,False,0
Adam Webster,1,1,17,3,20,0,0,0,3.142857142857143,1,45.0,3.0,-2.142857142857143,2,0,0,0,True,1
Willy Boly,0,1,17,20,3,0,0,0,2.857142857142857,1,55.0,3.0,-2.857142857142857,1,1,1,1,False,0
Lewis Dunk,7,1,17,3,20,0,0,0,4.285714285714286,1,50.0,3.0,2.7142857142857144,2,0,0,0,True,7
Stuart Armstrong,3,0,17,16,11,0,0,1,2.4285714285714284,0,55.0,3.0,0.5714285714285716,0,2,2,2,True,3
N'Golo Kanté,1,0,17,5,12,0,0,1,2.4285714285714284,0,50.0,3.0,-1.4285714285714284,0,3,3,3,True,1
Illan Meslier,2,0,17,9,17,0,1,0,4.714285714285714,3,45.0,3.0,-2.7142857142857144,0,2,2,2,False,2
Joelinton Cássio Apolinário de Lira,2,0,17,14,9,1,0,0,1.2857142857142858,2,60.0,2.0,0.7142857142857142,2,2,2,2,True,2
